ua_name,population_2020,population_2010,population_2000,significant_boundary_change
"Albany, OR",62074,54023,43226,NO
"Bend, OR",106865,83124,58074,NO
"Corvallis, OR",66566,60049,54487,NO
"Eugene, OR",270132,245718,223395,NO
"Grants Pass, OR",55381,50432,43943,NO
"Medford, OR",171202,154009,132537,NO
"Portland, OR--WA",1677922,1493415,1307461,NO
"Salem, OR",268088,239341,212091,NO
